Arrays.htm+html.head.title:55-3,Arrays
Arrays.htm+html.head.title:59-3,Arrays
Arrays.htm+html.body.div.div.div[title]:73-7,Arrays
Arrays.htm+html.body.div.div.div:73-7,Arrays
Arrays.htm+html.body.h1:86-3,Arrays
Arrays.htm+html.body.p:87-3,"Arrays can be extremely useful and are an essential part of making games. Here are just a few things that would be impossible (or at least, a lot more difficult) without arrays:"
Arrays.htm+html.body.ul.li:89-5,Menus. An array or two can make it much easier to create a good menu system.
Arrays.htm+html.body.ul.li:90-5,"RPGs. Arrays are essential for making RPGs, because instead of having a jumble of variables, you just have a few lines, which you can refer back to at any time."
Arrays.htm+html.body.ul.li:91-5,Card Games. Good for keeping track of cards and hands.
Arrays.htm+html.body.ul.li:92-5,High scores and other statistics. Much easier to keep track of one array than multiple variables.
Arrays.htm+html.body.p:94-3,"That's just the tip of the iceberg as arrays are one of the most fundamental and useful programming tools you can use, and you'd be surprised at the applications they can have! They are also very memory efficient and generally fast to parse, making them ideal for keeping performance to a maximum."
Arrays.htm+html.body.p:96-3,"A basic array is classed as having 1 <strong>dimension</strong>, but you can have arrays with more than one dimension too. The sections below explain a bit more about both types of array:"
Arrays.htm+html.body.p:98-3,"<span data-open-text=""true"">1 Dimension Arrays</span><span data-close-text=""true"">1 Dimension Arrays</span>"
Arrays.htm+html.body.div.p:100-5,"Before going any further let's just clarify what an array actually is and how it's structured. An array is simply a <a href=""Data_Types.htm"">data type</a> that is assigned to a variable, and it can contain not just one value, but multiple values. The image below shows a schematic for a basic array:"
Arrays.htm+html.body.div.p:103-5,"This is called a <strong>1D</strong> (one dimension) array, and as you can see the array is stored in the variable ""<span class=""inline"">a</span>"" and contains multiple values. To access the array you would do something like the following:"
Arrays.htm+html.body.div.p:104-5,{ANY_CODE} var _val = a[0];<br /> show_debug_message(_val);
Arrays.htm+html.body.div.p:106-5,"The above code gets the value from position 0 of the array ""a"" then outputs it to the console, which - based on the contents of the array shown in the image above - would output 125. If you did the following:"
Arrays.htm+html.body.div.p:107-5,{ANY_CODE} var _val = a[3];<br /> show_debug_message(_val);
Arrays.htm+html.body.div.p:109-5,"The output would show ""Hi!""."
Arrays.htm+html.body.div.p:110-5,"As you can see, you give the array a variable name and then a value in square brackets <span class=""inline"">[]</span>, where the value is the position in the array to get data from. So, essentially an array is a container with a number of spaces to store values, and each position in the container has a specific number to identify it, which is what we put in the <span class=""inline"">[]</span>. It's worth noting that the contents of an array <b>always start at 0</b> and can <i>never be negative</i>!"
Arrays.htm+html.body.div.p:112-5,"We've shown how to check an array for data, but how do we create the array to start with? First it has to be <i>initialized</i> before we can use it or GameMaker Studio 2 will give us an error. Initializing an array just means that we give each position of the array an initial value in preparation for it to be used elsewhere in the project code. This is important to remember as it means that you have to do a certain amount of planning before using arrays, but it is easy enough to initialize one using a repeat loop like this..."
Arrays.htm+html.body.div.p:115-5,{ANY_CODE} var i = 9;<br /> repeat(10) <br /> {nbsp_x4}{ <br /> {nbsp_x4}array[i] = 0;<br /> {nbsp_x4}i -= 1;<br /> {nbsp_x4}}
Arrays.htm+html.body.div.p:119-5,"This simple code will initialize a ten position array (from 0 to 9) to hold 0, ie: each position in the array contains the value 0. You will notice that the array has been initialised <i>backwards</i>, with the last value being defined first. This is not strictly necessary but is the optimal way to do it as it will reserve a space in memory that is the exact size of the array, whereas if you initialize an array from 0 <em>upwards</em>, the memory has to be re-allocated for every additional value added (so for a ten item array, initialising it in a loop would change the memory allocation ten times). The speed difference is negligible for smaller arrays, but larger ones should be optimised as much as possible in this way."
Arrays.htm+html.body.div.p:122-5,"<b>NOTE</b>: The HTML5 export is the exception to the above rule, and when targeting that you should initialise arrays in consecutive order from 0 upwards."
Arrays.htm+html.body.div.p:123-5,"You can also use the GML function <a href=""../GML_Reference/Variable_Functions/array_create.htm""><tt>array_create()</tt></a> to initialise an array to a fixed size, and you can even create ""empty"" arrays with <em>no</em> values, for example:"
Arrays.htm+html.body.div.p:124-5,{ANY_CODE} my_array= [];
Arrays.htm+html.body.div.p:125-5,"This tells GameMaker that the variable ""my_array"" is an array, and you can then add values to it at any time in the future. However, if you try to access a value in an empty array then you will get an error. In fact, you should always take care to only access valid array positions, as trying to access a value outside of an array will also give an error. For example, this will cause the project to crash when run:"
Arrays.htm+html.body.div.p:127-5,"{ANY_CODE} my_array = array_create(5, 0);<br /> var _val = my_array[6];"
Arrays.htm+html.body.div.p:128-5,"The array was only initialised with 5 positions, but we've tried to get position 7 - arrays are numbered from 0 so <span class=""inline"">array[6]</span> is position 7 - therefor the game generates an error and crashes."
Arrays.htm+html.body.div.p:129-5,"We've shown how to initialise and array with the same value for every position, but what if we want to initialize the array with different values for each position? Well for that we have to manually type each and every position ourselves, but there is a nice trick to help us keep track of things there:"
Arrays.htm+html.body.div.p:131-5,"{ANY_CODE} var _count = 3;<br /> array[_count] = ""you?""<br /> count -= 1;<br /> array[_count] = ""are ""<br /> count -= 1;<br /> array[_count] = ""How ""<br /> count -= 1;<br /> array[_count] = ""Hello!""<br /> count -= 1;"
Arrays.htm+html.body.div.p:132-5,"As you can see, we haven't used any numbers in the actual array, rather a <a href=""Variables/Local_Variables.htm"">local variable</a> to count down through the values. This is very useful, especially for larger arrays, as it means you don't have to track how many positions there are nor which number you are on, as the code will look after that for you. You just need to know how many total positions the array has to hold."
Arrays.htm+html.body.div.p:134-5,Finally you can assign the values to an array using a single variable call like this:
