physics_particle_group_polygon.htm+html.head.title:55-3,physics_particle_group_polygon
physics_particle_group_polygon.htm+html.head.title:59-3,physics_particle_group_polygon
physics_particle_group_polygon.htm+html.body.div.div.div[title]:73-7,physics_particle_group_polygon
physics_particle_group_polygon.htm+html.body.div.div.div:73-7,physics_particle_group_polygon
physics_particle_group_polygon.htm+html.body.h1:86-3,physics_particle_group_polygon
physics_particle_group_polygon.htm+html.body.p:87-3,"This function will set the shape of the particle group that is being created. You must first have begun the group definition using the function <a href=""physics_particle_group_begin.htm""><tt>physics_particle_group_begin()</tt></a>, and then you would use this function to tell GameMaker Studio 2 that you are going to add in the approximate points that will be used to define the polygon shape - approximate because the exact shape will depend on the size of the base particles, as defined by the <a href=""physics_particle_set_radius.htm""><tt>physics_particle_set_radius()</tt></a> function, as the physics simulation tries to ""fit"" as many of the particles as possible into the defined shape."
physics_particle_group_polygon.htm+html.body.p:90-3,"You would then define the points of the polygon calling the function <a href=""physics_particle_group_add_point.htm""><tt>physics_particle_group_add_point()</tt></a>, setting the x/y position in the room for each one (minimum of 3, maximum of 8, and they can be defined as concave but the points inside the shape will be ignored). Finally you need to call <a href=""physics_particle_group_end.htm""><tt>physics_particle_group_end()</tt></a> to create the group of particles in the room."
physics_particle_group_polygon.htm+html.body.h4:93-3,Syntax:
physics_particle_group_polygon.htm+html.body.p:94-3,physics_particle_group_polygon()
physics_particle_group_polygon.htm+html.body.h4:96-3,Returns:
physics_particle_group_polygon.htm+html.body.p:97-3,N/A
physics_particle_group_polygon.htm+html.body.h4:99-3,Example:
physics_particle_group_polygon.htm+html.body.p:100-3,"{ANY_CODE} var flags = phy_particle_flag_water | phy_particle_flag_viscous | phy_particle_flag_tensile;<br /> var groupflags = phy_particle_group_flag_solid;<br /> physics_particle_group_begin(flags, groupflags, mouse_x, mouse_y, 0, 0, 0, 0, c_white, 1, 1, 2);<br /> physics_particle_group_polygon(); <br /> physics_particle_group_add_point(200, 200);<br /> physics_particle_group_add_point(300, 300);<br /> physics_particle_group_add_point(100, 300);<br /> mLastGroup = physics_particle_group_end();"
physics_particle_group_polygon.htm+html.body.p:102-3,The above code stores the flags for the particle type and the particle group properties in variables then uses these to create a polygon particle group of three sides at the mouse position.
physics_particle_group_polygon.htm+html.body.div.div.div.div:109-9,"Back: <a href=""Soft_Body_Particles.htm"">Soft Body Particles</a>"
physics_particle_group_polygon.htm+html.body.div.div.div.div:110-9,"Next: <a href=""physics_particle_group_add_point.htm"">physics_particle_group_add_point</a>"
physics_particle_group_polygon.htm+html.body.p:122-1,{SEARCH_RESULT} Reference page for physics_particle_group_polygon
