environment_get_variable.htm+html.head.title:55-3,environment_get_variable
environment_get_variable.htm+html.head.title:59-3,environment_get_variable
environment_get_variable.htm+html.body.div.div.div[title]:73-7,environment_get_variable
environment_get_variable.htm+html.body.div.div.div:73-7,environment_get_variable
environment_get_variable.htm+html.body.h1:86-3,environment_get_variable
environment_get_variable.htm+html.body.p:87-3,"This function returns the value (a string) of the environment variable with the given name (also a string). You can get the available environment variables on macOS and Ubuntu (Linux) by typing ""<tt>env</tt>"" into the terminal app, and for information on Windows environment variables, if you are using the command prompt then type ""<tt>echo %PATH%</tt>"", and using PowerShell it's ""<tt>ls env</tt>"". Note that on both macOS and Ubuntu (Linux) the ""HOME"" environment variable will return the ""<tt>~/</tt>"" path which maps to ""<tt>/Users/&lt;username&gt;</tt>"" on macOS and ""<tt>/home/&lt;username&gt;</tt>"" on Ubuntu (Linux)."
environment_get_variable.htm+html.body.p:90-3,"<b>NOTE</b>: This function is for Windows, macOS and Ubuntu (Linux) only."
environment_get_variable.htm+html.body.h4:92-3,Syntax:
environment_get_variable.htm+html.body.p:93-3,environment_get_variable(name);
environment_get_variable.htm+html.body.table.tbody.tr.th:97-9,Argument
environment_get_variable.htm+html.body.table.tbody.tr.th:98-9,Description
environment_get_variable.htm+html.body.table.tbody.tr.td:101-9,name
environment_get_variable.htm+html.body.table.tbody.tr.td:102-9,The name (a string) of the environment variable to check.
environment_get_variable.htm+html.body.h4:107-3,Returns:
environment_get_variable.htm+html.body.p:108-3,String
environment_get_variable.htm+html.body.h4:110-3,Example:
environment_get_variable.htm+html.body.p:111-3,"{ANY_CODE} e_str = environment_get_variable(""APPDATA"");"
environment_get_variable.htm+html.body.p:112-3,"The above code will return the full path for the environment variable ""<tt>%appdata%</tt>"", which is normally ""<tt>C:\Users\{username}\AppData\Roaming</tt>""."
environment_get_variable.htm+html.body.div.div.div.div:119-9,"Back: <a href=""OS_And_Compiler.htm"">OS And Compiler</a>"
environment_get_variable.htm+html.body.div.div.div.div:120-9,"Next: <a href=""external_define.htm"">external_define</a>"
environment_get_variable.htm+html.body.p:132-1,{SEARCH_RESULT} Reference page for environment_get_variable
