The_Micro_Web_Server.htm+html.head.title:55-3,The Micro Web Server
The_Micro_Web_Server.htm+html.head.title:59-3,The Micro Web Server
The_Micro_Web_Server.htm+html.body.div.div.div[title]:73-7,The Micro Web Server
The_Micro_Web_Server.htm+html.body.div.div.div:73-7,The Micro Web Server
The_Micro_Web_Server.htm+html.body.h1:86-3,The Micro Web Server
The_Micro_Web_Server.htm+html.body.p:87-3,"This small tools primary function is to connect to and serve files to some of the available target platforms for GameMaker Studio 2 (like the HTML5 target, for example). When you run a game on a target that requires the Micro Web Server you will get a new window opening as the game is served to the chosen device:"
The_Micro_Web_Server.htm+html.body.p.img[alt]:89-6,{IMG_TXT} Micro Web Server Window
The_Micro_Web_Server.htm+html.body.p:90-3,<strong>NOTE</strong>: The first time you run a game on a target that requires the Micro Web Server its possible that you will get a firewall alert. You should permit the web server to communicate through the firewall if this happens.
The_Micro_Web_Server.htm+html.body.p:91-3,"The Web Server will show a certain amount of debug information related to the files that have been served, and has a button to clear this at the bottom. Beside the ""Clear"" button is the path to the root JS file for the project, while underneath that you have the <strong>Network Speed</strong> option. This is set to ""No Limit"" by default, but clicking it will open up a list of different network options:"
The_Micro_Web_Server.htm+html.body.p.img[alt]:93-6,{IMG_TXT} Micro Web Server Window Bandwidths
The_Micro_Web_Server.htm+html.body.p:93-3,"Changing this setting will also change the package <strong>Size </strong>option to the right. You can also edit this manually, in which case the Network Speed will be set to ""Custom"". Setting it to anything other than the maximum value will effectively throttle the network transfer speed and permit you to test games in a low bandwidth environment."
The_Micro_Web_Server.htm+html.body.p:95-3,"You can also see the list of <strong>allowed IPs</strong> along with the <strong>Port </strong>number being used, but these cannot be edited in the Micro Web Server and should be set instead in the <a href=""../Setting_Up_And_Version_Information/The_Device_Manager.htm"">Device Manager</a> settings for the given device target."
The_Micro_Web_Server.htm+html.body.div.div.div.div:103-9,"Back: <a href=""Additional_IDE_Tools.htm"">Additional IDE Tools</a>"
The_Micro_Web_Server.htm+html.body.div.div.div.div:104-9,"Next: <a href=""The_Inspector.htm"">The Inspector Window</a>"
The_Micro_Web_Server.htm+html.body.p:118-1,{SEARCH_RESULT} Section that covers the micro web server.
The_Micro_Web_Server.htm+html.body.p:118-65,{INDEX_KEYWORD} Micro Web Server
