External_Merge_Diff_Tools.htm+html.head.title:55-3,External Merge/Diff Tools
External_Merge_Diff_Tools.htm+html.head.title:59-3,External Merge/Diff Tools
External_Merge_Diff_Tools.htm+html.body.div.div.div[title]:73-7,External Merge/Diff Tools
External_Merge_Diff_Tools.htm+html.body.div.div.div:73-7,External Merge/Diff Tools
External_Merge_Diff_Tools.htm+html.body.h1:86-3,External Merge/Diff Tools
External_Merge_Diff_Tools.htm+html.body.p:87-3,"When you work on a project with other people, there's always a chance there could be a conflict, as multiple people edit the same file and most source control systems can make a good attempt at merging any conflicted files, but when there are changes in the same place, it requires a bit of help to know what to do – this is where a <strong>merge tool </strong>comes in to show you the changes, and let you decide."
External_Merge_Diff_Tools.htm+html.body.p:89-3,"As each merge tool is different, there are four macros that can be used to help specify files to it which can be set up from the <strong>Conflicts </strong>window by clicking the button labelled <strong>Choose Merge Tool</strong><strong></strong>:"
External_Merge_Diff_Tools.htm+html.body.p.img[alt]:90-6,{IMG_TXT} Source Control Conflict Window
External_Merge_Diff_Tools.htm+html.body.p:91-3,"When you click that button the <a href=""../../Setting_Up_And_Version_Information/IDE_Preferences/Plugin_Preferences.htm"">Preferences</a> window will open on the Git plugin:"
External_Merge_Diff_Tools.htm+html.body.p.img[alt]:92-6,{IMG_TXT} Source Control Choose Merge Tool
External_Merge_Diff_Tools.htm+html.body.p:92-3,"Here you provide a path to the chosen merge tool and then a <strong>Merge Tool Options</strong> macro (or macros) to use when deciding what to do, with the following options available:"
External_Merge_Diff_Tools.htm+html.body.ul.li:95-5,"<span class=""inline"">${scm_mine}</span>: path to your version"
External_Merge_Diff_Tools.htm+html.body.ul.li:96-5,"<span class=""inline"">${scm_thers}</span>: path to their version"
External_Merge_Diff_Tools.htm+html.body.ul.li:97-5,"<span class=""inline"">${scm_base}</span>: path to the version before the conflicted changes occurred"
External_Merge_Diff_Tools.htm+html.body.ul.li:98-5,"<span class=""inline"">${scm_merged}</span>: path to where the merge tool should save to"
External_Merge_Diff_Tools.htm+html.body.p:100-3,"As a help to setting up, when you give a path to certain merge tools, GameMaker Studio 2 will fill in some defaults to get started with, depending on the tool chosen:"
External_Merge_Diff_Tools.htm+html.body.ul.li:102-5,"<strong>KDiff3</strong>: <span class=""inline"">${scm_theirs} ${scm_mine} -o ${scm_merged}</span>"
External_Merge_Diff_Tools.htm+html.body.ul.li:103-5,"<strong>Meld</strong>: <span class=""inline"">${scm_mine} ${scm_merged} ${scm_theirs}</span>"
External_Merge_Diff_Tools.htm+html.body.ul.li:104-5,"<strong>Notepadd++</strong>: <span class=""inline"">${scm_merged}</span>"
External_Merge_Diff_Tools.htm+html.body.ul.li:105-5,"<strong>TortoiseMerge</strong>: <span class=""inline"">/base:${scm_base} /theirs:${scm_theirs} /mine:${scm_mine} /merged:${scm_merged}</span>"
